商品ID,评分,评论数
546666014655,4.9,40
544152763179,5,14
544837631720,5,1
544153244109,4.9,77
544185822300,4.4,9
544265692399,4.8,130
544271056624,4.8,21
546017035695,4.8,53
544302552993,4.5,17
544309252510,4.8,27
544311396254,4.5,10
544312588360,4.6,19
544312968443,4.5,12
545998738146,4.7,53
544314708904,5,8
536643600886,4.8,65
544326941497,4.7,7
544328421219,4.9,58
544333537944,4.5,18
544336348648,0,0
544336861645,4.7,28
544337705856,5,3
544337936435,4.5,12
544343274417,4.8,153
537458957084,4.8,88
537343603894,4.9,19
537422902907,4.8,80
536536655815,4.9,876
544819265085,5,4
544359935827,4.3,5
544361867173,4.6,3
544367323612,4,4
544368883258,4.5,11
544818030230,3.6,3
544372392503,4.5,10
546593437480,5,18
544373594695,5,6
544390519660,5,13
544391675648,5,1
544420086217,4.7,15
544422583760,4.6,9
544436367877,4.8,25
544476232597,4.9,53
544476812352,4.8,172
544477428095,4.8,161
544509202974,4.2,9
544511994692,4.8,64
544512966703,5,3
544514114233,4.9,85
546438003878,4.7,52
544514278631,4.8,47
544529967660,4.8,74
544530831819,4.9,80
544531435265,4.8,48
544531475690,4.5,24
544531767984,4.8,34
537923134453,4.9,91
544532275796,5,10
544535168455,4.9,24
548501653503,4.9,97
544535684013,4.8,12
544568801153,4.9,39
544569153809,5,2
544569373025,4.9,32
544571918945,5,13
544572158674,4.4,20
544579286554,4.8,110
544590443823,4.9,74
544590495428,4.8,56
544590739019,5,9
544597415143,4.8,40
544597551179,4.8,93
544692860161,4.6,32
544700720638,4.7,26
544700880714,4.6,45
544702884258,4.8,46
544737742294,4.6,6
544744588720,4.9,25
544774556701,4.3,8
544775249142,4.7,14
544779266824,0,0
545206651780,0,0
544779402784,4.7,13
544781270700,4.8,17
544799011571,5,4
544799655310,5,1
545084538881,4.6,381
544799699591,4.2,4
544814257257,5,6
544814533547,4.6,5
523047682715,4.6,1633
545354152439,4.8,36
527342726716,4.9,57
527343474863,4.9,54
543241031871,4.8,68
534487039093,4.9,58
534487431525,4.9,47
547707135012,5,2
530548026526,4.6,33
530567177173,5,13
